"[{'Vehicle_Name': '.', 'Company': 'Zentrixel', 'Temperature': '--', 'heartbeat': 'no', 'Latitude': '18.5488516', 'GPS': 'ON', 'mcc': '404', 'cellid': 'NA', 'lac': '', 'Vehicle_No': '353742376437570', 'Door1': '--', 'elock': '--', 'Door4': '--', 'Branch': 'Zentrixel', 'Vehicletype': 'Car', 'Door2': '--', 'Door3': '--', 'course': '', 'GPSActualTime': '02-02-2026 18:37:32', 'Datetime': '02-02-2026 18:37:33', 'Status': 'IDLE', 'DeviceModel': 'FMB920', 'Speed': '0', 'AC': '--', 'mnc': '90', 'Imeino': '353742376437570', 'gps_hdop': 'NA', 'Odometer': '19077', 'POI': '--', 'Driver_Middle_Name': '--', 'Longitude': '73.9370816', 'Immobilize_State': '--', 'IGN': 'ON', 'satellite_count': 0, 'Driver_First_Name': '--', 'Angle': '0', 'Ibutton/RFID': '', 'SOS': '--', 'Fuel': [], 'battery_percentage': '0', 'ExternalVolt': '13.98', 'Driver_Last_Name': '--', 'Power': 'ON', 'Location': 'Office No. 2, ICICI Bank Kharadi, Pune - Branch and ATM, Goodwill Landmark, Mundhwa - Kharadi Rd, Tukaram Nagar, Kharadi, Pune, Maharashtra (NE)', 'Altitude': '0'}]",2026-02-02T13:08:31.276838
The call exceeded the limit of one minute one call.,2026-02-02T13:08:43.246956
The call exceeded the limit of one minute one call.,2026-02-02T13:08:53.380997
The call exceeded the limit of one minute one call.,2026-02-02T13:09:03.547569
The call exceeded the limit of one minute one call.,2026-02-02T13:09:13.709127
The call exceeded the limit of one minute one call.,2026-02-02T13:09:23.825894
"[{'Vehicle_Name': '.', 'Company': 'Zentrixel', 'Temperature': '--', 'heartbeat': 'no', 'Latitude': '18.5488516', 'GPS': 'ON', 'mcc': '404', 'cellid': 'NA', 'lac': '', 'Vehicle_No': '353742376437570', 'Door1': '--', 'elock': '--', 'Door4': '--', 'Branch': 'Zentrixel', 'Vehicletype': 'Car', 'Door2': '--', 'Door3': '--', 'course': '', 'GPSActualTime': '02-02-2026 18:37:32', 'Datetime': '02-02-2026 18:37:33', 'Status': 'IDLE', 'DeviceModel': 'FMB920', 'Speed': '0', 'AC': '--', 'mnc': '90', 'Imeino': '353742376437570', 'gps_hdop': 'NA', 'Odometer': '19077', 'POI': '--', 'Driver_Middle_Name': '--', 'Longitude': '73.9370816', 'Immobilize_State': '--', 'IGN': 'ON', 'satellite_count': 0, 'Driver_First_Name': '--', 'Angle': '0', 'Ibutton/RFID': '', 'SOS': '--', 'Fuel': [], 'battery_percentage': '0', 'ExternalVolt': '13.98', 'Driver_Last_Name': '--', 'Power': 'ON', 'Location': 'Office No. 2, ICICI Bank Kharadi, Pune - Branch and ATM, Goodwill Landmark, Mundhwa - Kharadi Rd, Tukaram Nagar, Kharadi, Pune, Maharashtra (NE)', 'Altitude': '0'}]",2026-02-02T13:09:34.241295
The call exceeded the limit of one minute one call.,2026-02-02T13:09:44.456710
The call exceeded the limit of one minute one call.,2026-02-02T13:09:55.166766
The call exceeded the limit of one minute one call.,2026-02-02T13:10:05.372221
