imei,vehicleName,lat,lng,utc_timestamp,isValid,speed,acc_status,d1_status,heading,altitude,lastIgnitionOnTime,lastIgnitionOffTime,todays_distance,lastNoGpsTime,odometerOffset,odometer,terminalInfo,lastFuelLevel,deviceType,todaysMovingTimeSeconds,todaysWaitingTimeSeconds,idleTimeSeconds,fuelChoice,lastDeviceFuelPercent,capacity,d1_name,d1_On_Seconds,temperature1,temp1Label,temperature2,temp2Label,temperatureUnit,featuresAllowed,agetime,datetime,ingested_at_utc
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297050,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896290,0,0,,,0 minutes,0,,0,,Celcius,0,13 seconds ago,2026-02-05 18:40:50,2026-02-05T13:11:03.572879
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297060,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896300,0,0,,,0 minutes,0,,0,,Celcius,0,5 seconds ago,2026-02-05 18:41:00,2026-02-05T13:11:04.882547
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297060,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896300,0,0,,,0 minutes,0,,0,,Celcius,0,6 seconds ago,2026-02-05 18:41:00,2026-02-05T13:11:06.228886
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297060,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896300,0,0,,,0 minutes,0,,0,,Celcius,0,8 seconds ago,2026-02-05 18:41:00,2026-02-05T13:11:07.756327
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297060,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896300,0,0,,,0 minutes,0,,0,,Celcius,0,9 seconds ago,2026-02-05 18:41:00,2026-02-05T13:11:09.181639
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297060,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896300,0,0,,,0 minutes,0,,0,,Celcius,0,10 seconds ago,2026-02-05 18:41:00,2026-02-05T13:11:10.719052
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297060,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896300,0,0,,,0 minutes,0,,0,,Celcius,0,12 seconds ago,2026-02-05 18:41:00,2026-02-05T13:11:12.170550
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297070,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896310,0,0,,,0 minutes,0,,0,,Celcius,0,4 seconds ago,2026-02-05 18:41:10,2026-02-05T13:11:13.888663
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297070,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896310,0,0,,,0 minutes,0,,0,,Celcius,0,5 seconds ago,2026-02-05 18:41:10,2026-02-05T13:11:15.227818
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297070,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896310,0,0,,,0 minutes,0,,0,,Celcius,0,7 seconds ago,2026-02-05 18:41:10,2026-02-05T13:11:17.782856
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297070,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896310,0,0,,,0 minutes,0,,0,,Celcius,0,9 seconds ago,2026-02-05 18:41:10,2026-02-05T13:11:19.224641
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297070,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896310,0,0,,,0 minutes,0,,0,,Celcius,0,10 seconds ago,2026-02-05 18:41:10,2026-02-05T13:11:20.552674
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297070,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896310,0,0,,,0 minutes,0,,0,,Celcius,0,12 seconds ago,2026-02-05 18:41:10,2026-02-05T13:11:21.810292
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297080,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896320,0,0,,,0 minutes,0,,0,,Celcius,0,3 seconds ago,2026-02-05 18:41:20,2026-02-05T13:11:23.112982
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297080,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896320,0,0,,,0 minutes,0,,0,,Celcius,0,4 seconds ago,2026-02-05 18:41:20,2026-02-05T13:11:24.365674
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297080,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896320,0,0,,,0 minutes,0,,0,,Celcius,0,6 seconds ago,2026-02-05 18:41:20,2026-02-05T13:11:25.798869
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297080,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896320,0,0,,,0 minutes,0,,0,,Celcius,0,7 seconds ago,2026-02-05 18:41:20,2026-02-05T13:11:27.305615
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297080,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896320,0,0,,,0 minutes,0,,0,,Celcius,0,9 seconds ago,2026-02-05 18:41:20,2026-02-05T13:11:28.705902
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297080,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896320,0,0,,,0 minutes,0,,0,,Celcius,0,10 seconds ago,2026-02-05 18:41:20,2026-02-05T13:11:30.285680
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297080,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896320,0,0,,,0 minutes,0,,0,,Celcius,0,11 seconds ago,2026-02-05 18:41:20,2026-02-05T13:11:31.520686
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297090,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896330,0,0,,,0 minutes,0,,0,,Celcius,0,3 seconds ago,2026-02-05 18:41:30,2026-02-05T13:11:32.752688
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297090,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896330,0,0,,,0 minutes,0,,0,,Celcius,0,4 seconds ago,2026-02-05 18:41:30,2026-02-05T13:11:34.272420
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297090,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896330,0,0,,,0 minutes,0,,0,,Celcius,0,5 seconds ago,2026-02-05 18:41:30,2026-02-05T13:11:35.599132
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297090,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896330,0,0,,,0 minutes,0,,0,,Celcius,0,7 seconds ago,2026-02-05 18:41:30,2026-02-05T13:11:36.935981
353691844468701,Shift Loni Kalbhor  MH 14 KA 9306,18.486805,74.13027,1770297090,1,0,0,0,321,563,1770285873,1770294175,253.62,,0,56326.71,16451,,Teltonika,34480,4372,8896330,0,0,,,0 minutes,0,,0,,Celcius,0,8 seconds ago,2026-02-05 18:41:30,2026-02-05T13:11:38.275641
